rank,score,feature_jaccard,best_view,id1,cat1,id2,cat2,planted,held_out
181,0.3700,0.4000,skel-skel,1612.08949,physics.soc-ph,2401.00651,cs.SI,,False
182,0.3700,0.4000,skel-skel,1702.00718,q-bio.NC,2401.09955,q-fin.PR,,False
183,0.3700,0.4000,skel-core,2012.11533,eess.SY,2402.13378,econ.TH,,False
184,0.3700,0.4000,skel-skel,2203.16300,eess.SY,2401.00651,cs.SI,,False
185,0.3700,0.4000,skel-skel,2401.00651,cs.SI,2401.00661,eess.SY,,False
186,0.3691,0.3636,core-core,1501.04037,cond-mat.supr-con,2308.15326,physics.soc-ph,,False
187,0.3629,0.2857,core-skel,2401.00623,math.AP,2401.00661,eess.SY,,False
188,0.3629,0.2857,core-skel,2401.00623,math.AP,2401.00940,econ.TH,,False
189,0.3629,0.2857,core-core,2401.00623,math.AP,2402.13378,econ.TH,,False
190,0.3625,0.2500,skel-skel,1008.3331,cond-mat.stat-mech,1406.2405,q-bio.PE,,False
191,0.3625,0.2500,skel-skel,1008.3331,cond-mat.stat-mech,1709.01726,physics.soc-ph,,False
192,0.3625,0.2500,skel-skel,1008.3331,cond-mat.stat-mech,1807.11410,nlin.AO,,False
193,0.3625,0.2500,core-skel,1008.3331,cond-mat.stat-mech,2401.03776,q-fin.PR,,False
194,0.3625,0.2500,skel-skel,1008.3331,cond-mat.stat-mech,2505.15526,q-fin.GN,,False
195,0.3625,0.2500,skel-skel,1406.2405,q-bio.PE,1709.01726,physics.soc-ph,,False
196,0.3625,0.2500,skel-skel,1406.2405,q-bio.PE,1807.11410,nlin.AO,,False
197,0.3625,0.2500,skel-skel,1406.2405,q-bio.PE,2505.15526,q-fin.GN,,False
198,0.3625,0.2500,core-core,1501.04037,cond-mat.supr-con,2408.11953,physics.optics,,False
199,0.3625,0.2500,skel-core,1607.07287,cond-mat.stat-mech,2401.00651,cs.SI,,False
200,0.3625,0.2500,core-skel,1612.08949,physics.soc-ph,2401.00657,math.OC,,False
201,0.3625,0.2500,skel-skel,1709.01726,physics.soc-ph,1807.11410,nlin.AO,,False
202,0.3625,0.2500,skel-skel,1709.01726,physics.soc-ph,2401.00822,cond-mat.stat-mech,,False
203,0.3625,0.2500,skel-skel,2004.09314,q-bio.PE,2505.15526,q-fin.GN,,False
204,0.3625,0.2500,core-skel,2401.00664,math.OC,2401.00839,econ.TH,,False
205,0.3625,0.2500,skel-skel,2401.00671,math.PR,2401.01171,physics.soc-ph,,False
206,0.3625,0.2500,skel-skel,2401.00671,math.PR,2401.01850,nlin.AO,,False
207,0.3625,0.2500,core-core,2401.00671,math.PR,2401.09955,q-fin.PR,,False
208,0.3625,0.2500,skel-skel,2401.00822,cond-mat.stat-mech,2505.15526,q-fin.GN,,False
209,0.3583,0.3333,skel-skel,1612.08949,physics.soc-ph,2401.00661,eess.SY,,False
210,0.3583,0.3333,skel-skel,1612.08949,physics.soc-ph,2401.00940,econ.TH,,False
211,0.3488,0.3750,core-core,1807.11410,nlin.AO,2012.11533,eess.SY,,False
212,0.3488,0.3750,core-core,2004.01025,cs.LG,2401.00623,math.AP,,False
213,0.3479,0.2857,core-skel,1612.08949,physics.soc-ph,2401.00671,math.PR,,False
214,0.3389,0.2222,core-core,1008.3331,cond-mat.stat-mech,2401.00671,math.PR,,False
215,0.3389,0.2222,core-skel,1406.2405,q-bio.PE,2401.03776,q-fin.PR,,False
216,0.3389,0.2222,core-core,1501.04037,cond-mat.supr-con,1702.00718,q-bio.NC,,False
217,0.3389,0.2222,core-core,1602.05417,physics.class-ph,1702.00718,q-bio.NC,cable_telegrapher,True
218,0.3389,0.2222,skel-core,2401.00621,math.AP,2505.15526,q-fin.GN,,False
219,0.3329,0.2857,skel-core,2401.00670,eess.SY,2401.00671,math.PR,,False
220,0.3218,0.2727,core-core,2007.02182,quant-ph,2401.00822,cond-mat.stat-mech,,False
221,0.3200,0.2000,skel-skel,1402.3007,math-ph,2401.00621,math.AP,,False
222,0.3200,0.2000,core-core,1406.2405,q-bio.PE,2401.09955,q-fin.PR,,False
223,0.3200,0.2000,skel-skel,1506.01137,q-bio.PE,2401.00671,math.PR,,False
224,0.3200,0.2000,core-core,1506.01137,q-bio.PE,2401.01397,physics.soc-ph,,False
225,0.3200,0.2000,skel-core,1602.05417,physics.class-ph,2208.02457,q-bio.PE,,False
226,0.3200,0.2000,skel-core,1702.00718,q-bio.NC,2505.15526,q-fin.GN,,False
227,0.3200,0.2000,skel-skel,2004.01025,cs.LG,2401.00671,math.PR,,False
228,0.3200,0.2000,skel-core,2007.02182,quant-ph,2505.15526,q-fin.GN,,False
229,0.3200,0.2000,skel-skel,2012.11533,eess.SY,2401.01850,nlin.AO,,False
230,0.3200,0.2000,skel-skel,2202.04557,cs.NE,2401.00671,math.PR,,False
231,0.3200,0.2000,skel-skel,2203.16300,eess.SY,2401.00671,math.PR,,False
232,0.3200,0.2000,core-skel,2208.02457,q-bio.PE,2401.01397,physics.soc-ph,,False
233,0.3200,0.2000,skel-skel,2311.15996,cs.LG,2401.00671,math.PR,,False
234,0.3200,0.2000,core-core,2311.15996,cs.LG,2401.09955,q-fin.PR,,False
235,0.3200,0.2000,skel-skel,2401.00622,cs.LG,2401.00940,econ.TH,,False
236,0.3200,0.2000,skel-core,2401.00623,math.AP,2505.15526,q-fin.GN,,False
237,0.3200,0.2000,skel-skel,2401.00671,math.PR,2401.01397,physics.soc-ph,,False
238,0.3200,0.2000,skel-skel,2401.00671,math.PR,2401.01632,q-bio.PE,,False
239,0.3200,0.2000,skel-skel,2401.01850,nlin.AO,2401.09955,q-fin.PR,,False
240,0.3200,0.2000,core-core,2408.11953,physics.optics,2505.15526,q-fin.GN,,False
241,0.3179,0.2857,core-core,1403.3103,math.AP,1607.07287,cond-mat.stat-mech,,False
242,0.3179,0.2857,skel-core,1403.3103,math.AP,2004.01025,cs.LG,,False
243,0.3179,0.2857,core-skel,2401.00661,eess.SY,2401.01171,physics.soc-ph,,False
244,0.3179,0.2857,core-skel,2401.00661,eess.SY,2401.01850,nlin.AO,,False
245,0.3179,0.2857,core-skel,2401.00661,eess.SY,2401.09955,q-fin.PR,,False
246,0.3175,0.2500,core-skel,1506.01137,q-bio.PE,2401.03776,q-fin.PR,,False
247,0.3175,0.2500,core-core,1612.08949,physics.soc-ph,2208.02457,q-bio.PE,,False
248,0.3175,0.2500,core-skel,1612.08949,physics.soc-ph,2401.01850,nlin.AO,,False
249,0.3175,0.2500,core-skel,1612.08949,physics.soc-ph,2401.09955,q-fin.PR,,False
250,0.3133,0.3333,skel-skel,1008.3331,cond-mat.stat-mech,2401.00651,cs.SI,,False
251,0.3133,0.3333,skel-skel,1501.04037,cond-mat.supr-con,2208.02457,q-bio.PE,,False
252,0.3133,0.3333,skel-skel,1506.01137,q-bio.PE,2401.00623,math.AP,,False
253,0.3133,0.3333,skel-skel,1511.02314,nlin.PS,2208.02457,q-bio.PE,,False
254,0.3133,0.3333,skel-skel,1702.00718,q-bio.NC,2401.00670,eess.SY,,False
255,0.3133,0.3333,core-core,2004.01025,cs.LG,2401.00661,eess.SY,,False
256,0.3133,0.3333,skel-core,2202.04557,cs.NE,2401.00621,math.AP,,False
257,0.3133,0.3333,skel-skel,2203.16300,eess.SY,2401.00940,econ.TH,,False
258,0.3133,0.3333,skel-core,2203.16300,eess.SY,2408.11953,physics.optics,,False
259,0.3133,0.3333,skel-skel,2401.00623,math.AP,2401.01632,q-bio.PE,,False
260,0.3089,0.2222,core-core,1402.1384,cs.IT,1403.3103,math.AP,,False
261,0.3089,0.2222,core-skel,1402.1384,cs.IT,2401.00661,eess.SY,,False
262,0.3089,0.2222,core-skel,1402.1384,cs.IT,2401.00940,econ.TH,,False
263,0.3068,0.2727,core-core,2208.02457,q-bio.PE,2401.00661,eess.SY,,False
264,0.3045,0.1818,skel-core,1008.3331,cond-mat.stat-mech,2208.02457,q-bio.PE,,False
265,0.3045,0.1818,core-core,1008.3331,cond-mat.stat-mech,2311.15996,cs.LG,fokker_planck_diffusion_models,False
266,0.3045,0.1818,core-core,1612.08949,physics.soc-ph,2004.01025,cs.LG,,False
267,0.3045,0.1818,core-core,1712.01032,physics.class-ph,2208.02457,q-bio.PE,,False
268,0.3045,0.1818,core-core,2401.00671,math.PR,2401.00822,cond-mat.stat-mech,,False
269,0.3025,0.2500,core-skel,1008.3331,cond-mat.stat-mech,1702.00718,q-bio.NC,,False
270,0.3025,0.2500,skel-core,1402.3007,math-ph,2311.15996,cs.LG,,False
271,0.3025,0.2500,core-core,2311.15996,cs.LG,2505.15526,q-fin.GN,,False
272,0.2939,0.2222,skel-core,1506.01137,q-bio.PE,1612.08949,physics.soc-ph,logistic_adoption,False
